numcode,country,num_articles1990,num_articles1991,num_articles1992,num_articles1993,num_articles1994,num_articles1995,num_articles1996,,,numcode,Country,num_articles1990,num_articles1991,num_articles1992,num_articles1993,num_articles1994,num_articles1995,num_articles1996
4,Afghanistan,2,1,1,0,0,1,3,,TRUE,4,Afghanistan,3,3,3,4,4,3,4
8,Albania,3,18,21,29,44,41,49,,TRUE,8,Albania,9,12,12,10,10,6,4
12,Algeria,23,217,256,224,259,287,311,,TRUE,12,Algeria,16,15,15,16,20,13,15
20,Andorra,0,0,0,1,0,0,1,,FALSE,,,,,,,,,
24,Angola,2,5,10,8,6,10,2,,TRUE,24,Angola,24,24,24,24,24,19,19
28,Antigua and Barbuda,0,0,0,0,1,1,0,,TRUE,28,Antigua and Barbuda,0,0,0,0,0,0,1
31,Azerbaijan,9,31,134,247,215,218,219,,TRUE,31,Azerbaijan,9,8,10,11,11,12,11
32,Argentina,780,4642,4730,3326,3596,4174,5150,,TRUE,32,Argentina,69,70,71,74,77,49,46
36,Australia,2521,17268,18295,20044,21180,23049,24054,,TRUE,36,Australia,119,126,120,123,123,100,100
40,Austria,641,4680,5156,5327,5744,6504,7077,,TRUE,40,Austria,94,97,97,98,99,85,82
44,Bahamas,1,0,4,3,6,3,4,,TRUE,44,Bahamas,0,2,2,2,2,1,2
48,Bahrain,13,84,72,63,84,84,72,,TRUE,48,Bahrain,1,1,1,1,1,2,3
50,Bangladesh,30,248,314,323,337,383,368,,TRUE,50,Bangladesh,6,6,6,7,7,2,2
51,Armenia,5,43,81,229,260,287,353,,TRUE,51,Armenia,10,12,12,12,12,10,11
52,Barbados,5,40,43,44,38,55,36,,TRUE,52,Barbados,0,0,0,0,1,0,0
56,Belgium,989,7136,7834,8192,9246,10122,10671,,TRUE,56,Belgium,99,99,103,100,114,88,91
60,Bermuda,1,12,11,17,18,13,18,,FALSE,,,,,,,,,
64,Bhutan,1,0,3,5,4,6,1,,FALSE,,,,,,,,,
68,Bolivia,1,36,42,68,67,63,59,,TRUE,68,Bolivia (Plurinational State of),19,19,19,20,21,8,7
70,Bosnia and Herzegovina,1,2,7,28,28,24,30,,TRUE,70,Bosnia and Herzegovina,11,11,10,12,14,7,10
72,Botswana,7,45,35,49,55,66,79,,TRUE,72,Botswana,15,13,14,12,13,9,10
76,Brazil,812,4481,4925,5044,5631,6866,7684,,TRUE,76,Brazil,75,73,76,77,78,69,83
84,Belize,0,3,1,6,7,8,5,,TRUE,84,Belize,2,1,1,2,1,2,4
90,Solomon Islands,1,13,9,5,9,3,5,,TRUE,90,Solomon Islands,0,0,0,0,0,0,0
96,Brunei Darussalam,1,13,23,10,23,20,26,,TRUE,96,Brunei Darussalam,0,0,0,0,0,1,1
100,Bulgaria,379,1723,1888,1518,1540,1633,1637,,TRUE,100,Bulgaria,51,51,51,42,41,36,36
108,Burundi,4,17,12,12,29,21,20,,TRUE,108,Burundi,6,7,7,7,6,8,9
112,Belarus,30,67,400,1076,1132,1248,1207,,TRUE,112,Belarus,12,12,12,14,15,15,14
116,Cambodia,0,1,2,2,7,9,6,,TRUE,116,Cambodia,8,9,8,7,7,5,5
120,Cameroon,18,144,162,151,192,166,152,,TRUE,120,Cameroon,29,28,25,27,29,24,22
124,Canada,5496,38581,40697,42603,43937,45871,46130,,TRUE,124,Canada,177,176,177,176,177,165,167
132,Cape Verde,0,2,1,1,0,1,2,,FALSE,,,,,,,,,
140,Central African Republic,0,16,23,10,14,22,8,,TRUE,140,Central African Rep.,18,18,15,15,15,13,15
144,Sri Lanka,19,140,151,143,149,163,137,,TRUE,144,Sri Lanka,4,3,3,3,2,7,7
148,Chad,1,3,1,6,2,8,3,,TRUE,148,Chad,3,16,17,20,20,15,16
152,Chile,491,1241,1319,1460,1451,1668,1770,,TRUE,152,Chile,1,13,17,18,20,16,19
156,China,1299,9801,11007,11813,12972,16774,19308,,TRUE,156,China,9,8,8,8,8,21,27
158,"Taiwan, Province of China",325,3656,4518,5314,6472,7279,8284,,FALSE,,,,,,,,,
170,Colombia,33,199,238,248,315,366,476,,TRUE,170,Colombia,29,30,33,35,36,16,15
174,Comoros,2,1,0,4,3,1,0,,FALSE,,,,,,,,,
180,"Congo, the Democratic Republic of the",20,134,138,104,114,86,78,,TRUE,180,"Congo, the Democratic Republic of the",8,14,14,15,16,17,17
184,Cook Islands,0,1,0,3,2,3,3,,FALSE,188,Costa Rica,44,44,44,45,46,31,30
188,Costa Rica,63,144,157,185,220,182,254,,FALSE,191,Croatia,9,13,15,18,20,15,15
191,Croatia,6,28,151,930,908,1083,1164,,FALSE,192,Cuba,11,9,9,8,8,3,7
