numcode	Country	num_articles1990	num_articles1991	num_articles1992	num_articles1993	num_articles1994	num_articles1995	num_articles1996
4	Afghanistan	3	3	3	4	4	3	4
8	Albania	9	12	12	10	10	6	4
12	Algeria	16	15	15	16	20	13	15
24	Angola	24	24	24	24	24	19	19
28	Antigua and Barbuda	0	0	0	0	0	0	1
31	Azerbaijan	9	8	10	11	11	12	11
32	Argentina	69	70	71	74	77	49	46
36	Australia	119	126	120	123	123	100	100
40	Austria	94	97	97	98	99	85	82
44	Bahamas	0	2	2	2	2	1	2
48	Bahrain	1	1	1	1	1	2	3
50	Bangladesh	6	6	6	7	7	2	2
51	Armenia	10	12	12	12	12	10	11
52	Barbados	0	0	0	0	1	0	0
56	Belgium	99	99	103	100	114	88	91
68	Bolivia (Plurinational State of)	19	19	19	20	21	8	7
70	Bosnia and Herzegovina	11	11	10	12	14	7	10
72	Botswana	15	13	14	12	13	9	10
76	Brazil	75	73	76	77	78	69	83
84	Belize	2	1	1	2	1	2	4
90	Solomon Islands	0	0	0	0	0	0	0
96	Brunei Darussalam	0	0	0	0	0	1	1
100	Bulgaria	51	51	51	42	41	36	36
108	Burundi	6	7	7	7	6	8	9
112	Belarus	12	12	12	14	15	15	14
116	Cambodia	8	9	8	7	7	5	5
120	Cameroon	29	28	25	27	29	24	22
124	Canada	177	176	177	176	177	165	167
140	Central African Rep.	18	18	15	15	15	13	15
144	Sri Lanka	4	3	3	3	2	7	7
148	Chad	3	16	17	20	20	15	16
152	Chile	1	13	17	18	20	16	19
156	China	9	8	8	8	8	21	27
170	Colombia	29	30	33	35	36	16	15
180	"Congo, the Democratic Republic of the"	8	14	14	15	16	17	17
188	Costa Rica	44	44	44	45	46	31	30
191	Croatia	9	13	15	18	20	15	15
192	Cuba	11	9	9	8	8	3	7
196	Cyprus	43	43	48	49	50	35	38
203	Czech Rep.	63	67	67	69	69	41	44
204	Benin	25	25	26	18	10	5	5
208	Denmark	76	74	69	72	74	51	50
214	Dominican Rep.	0	2	1	3	4	3	4
218	Ecuador	69	71	70	72	72	29	29
222	El Salvador	2	4	4	6	6	2	5
231	Ethiopia	15	17	16	17	18	13	13
232	Eritrea	3	3	3	4	4	5	5
233	Estonia	10	12	17	19	20	8	10
242	Fiji	2	1	5	6	5	2	2
246	Finland	83	83	84	84	84	62	65
250	France	107	86	110	114	114	123	124
262	Djibouti	6	9	9	9	9	5	9
266	Gabon	22	22	23	23	23	12	11
268	Georgia	6	7	7	11	10	12	18
270	Gambia	9	12	12	13	12	8	8
276	Germany	163	167	167	165	155	132	133
288	Ghana	16	15	15	17	21	23	25
300	Greece	45	47	51	59	66	59	60
